"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","2,761.95","2,756.60","2,767.40","2,754.50","","0.46%"
"10/31/2024","2,749.30","2,799.10","2,801.20","2,741.80","242.57K","-1.84%"
"10/30/2024","2,800.80","2,786.90","2,801.80","2,782.40","191.55K","1.16%"
"10/29/2024","2,768.80","2,741.90","2,773.20","2,741.90","0.85K","0.92%"
"10/28/2024","2,743.60","2,739.40","2,745.60","2,725.80","0.57K","0.05%"
"10/25/2024","2,742.20","2,735.40","2,747.20","2,716.90","0.26K","-0.24%"
"10/24/2024","2,748.90","2,729.20","2,756.30","2,728.70","175.87K","0.71%"
"10/23/2024","2,729.40","2,762.60","2,772.60","2,722.10","214.52K","-1.10%"
"10/22/2024","2,759.80","2,734.70","2,763.30","2,733.50","173.70K","0.76%"
"10/21/2024","2,738.90","2,736.30","2,755.40","2,728.50","210.45K","0.33%"
"10/18/2024","2,730.00","2,707.80","2,737.80","2,707.30","178.96K","0.83%"
"10/17/2024","2,707.50","2,690.40","2,712.70","2,688.20","181.82K","0.60%"
"10/16/2024","2,691.30","2,679.50","2,702.50","2,674.90","156.88K","0.46%"
"10/15/2024","2,678.90","2,663.50","2,685.90","2,654.40","160.56K","0.50%"
"10/14/2024","2,665.60","2,673.10","2,684.20","2,660.00","123.36K","-0.40%"
"10/11/2024","2,676.30","2,647.40","2,679.00","2,645.30","168.60K","1.40%"
"10/10/2024","2,639.30","2,625.80","2,648.90","2,618.80","195.58K","0.51%"
"10/09/2024","2,626.00","2,640.70","2,642.90","2,622.80","143.00K","-0.36%"
"10/08/2024","2,635.40","2,662.80","2,672.40","2,623.40","233.85K","-1.15%"
"10/07/2024","2,666.00","2,671.70","2,679.20","2,657.30","130.71K","-0.07%"
"10/04/2024","2,667.80","2,675.70","2,690.60","2,651.60","192.66K","-0.43%"
"10/03/2024","2,679.20","2,679.90","2,683.40","2,657.80","138.55K","0.36%"
"10/02/2024","2,669.70","2,684.60","2,684.80","2,662.10","128.68K","-0.77%"
"10/01/2024","2,690.30","2,656.10","2,694.70","2,653.80","202.76K","1.16%"
"09/30/2024","2,659.40","2,680.50","2,687.70","2,646.20","173.25K","-0.33%"
"09/27/2024","2,668.10","2,695.10","2,696.90","2,665.30","196.73K","-0.55%"
"09/26/2024","2,682.90","2,668.70","2,695.60","2,666.10","0.97K","0.37%"
"09/25/2024","2,673.00","2,671.20","2,681.70","2,662.70","0.78K","0.29%"
"09/24/2024","2,665.20","2,639.10","2,675.80","2,637.30","0.50K","0.92%"
"09/23/2024","2,640.90","2,633.60","2,647.90","2,627.70","0.47K","0.24%"
"09/20/2024","2,634.60","2,601.90","2,639.10","2,601.80","0.50K","1.22%"
"09/19/2024","2,602.90","2,570.00","2,605.80","2,566.40","0.20K","0.61%"
"09/18/2024","2,587.00","2,589.40","2,615.50","2,563.50","0.47K","0.24%"
"09/17/2024","2,580.80","2,598.20","2,602.00","2,577.40","0.12K","-0.64%"
"09/16/2024","2,597.30","2,598.00","2,604.70","2,593.50","0.07K","-0.07%"
"09/13/2024","2,599.10","2,574.90","2,601.30","2,574.70","0.51K","1.17%"
"09/12/2024","2,569.10","2,531.50","2,576.60","2,531.20","0.28K","1.51%"
"09/11/2024","2,530.90","2,537.10","2,540.60","2,521.30","0.08K","-0.03%"
"09/10/2024","2,531.60","2,524.00","2,534.80","2,518.30","0.10K","0.41%"
"09/09/2024","2,521.30","2,515.00","2,524.80","2,507.60","0.05K","0.32%"
"09/06/2024","2,513.20","2,533.20","2,541.70","2,511.00","0.06K","-0.73%"
"09/05/2024","2,531.60","2,513.90","2,541.30","2,513.00","0.14K","0.68%"
"09/04/2024","2,514.40","2,511.90","2,518.00","2,495.70","0.05K","0.12%"
"09/03/2024","2,511.40","2,513.80","2,525.80","2,496.30","0.05K","-0.18%"
"08/30/2024","2,516.00","2,542.20","2,542.20","2,534.20","0.01K","-1.24%"
"08/29/2024","2,547.70","2,539.20","2,562.20","2,536.50","159.97K","1.33%"
"08/28/2024","2,514.30","2,536.70","2,540.70","2,504.80","8.49K","-0.59%"
"08/27/2024","2,529.30","2,530.50","2,537.70","2,515.40","7.27K","-0.08%"
"08/26/2024","2,531.40","2,522.10","2,538.90","2,520.70","6.08K","0.35%"
"08/23/2024","2,522.60","2,497.20","2,530.40","2,497.00","6.90K","1.17%"
"08/22/2024","2,493.50","2,525.30","2,528.00","2,483.20","7.69K","-1.21%"
"08/21/2024","2,524.10","2,528.90","2,534.00","2,505.60","5.72K","-0.13%"
"08/20/2024","2,527.40","2,519.10","2,546.80","2,511.70","10.60K","0.37%"
"08/19/2024","2,518.10","2,526.10","2,526.40","2,500.90","8.05K","0.14%"
"08/16/2024","2,514.50","2,471.50","2,524.60","2,465.80","12.01K","1.83%"
"08/15/2024","2,469.40","2,463.00","2,484.40","2,446.50","9.30K","0.50%"
"08/14/2024","2,457.10","2,483.30","2,496.60","2,454.00","7.64K","-1.12%"
"08/13/2024","2,484.90","2,488.60","2,494.00","2,475.10","8.32K","0.17%"
"08/12/2024","2,480.80","2,447.50","2,490.00","2,439.80","9.80K","1.24%"
"08/09/2024","2,450.40","2,443.40","2,453.40","2,433.90","6.57K","0.39%"
"08/08/2024","2,440.80","2,398.60","2,445.00","2,398.10","7.24K","1.27%"
"08/07/2024","2,410.30","2,408.50","2,425.10","2,397.00","6.13K","0.04%"
"08/06/2024","2,409.30","2,430.90","2,437.20","2,399.60","8.78K","-0.55%"
"08/05/2024","2,422.60","2,467.70","2,478.00","2,382.80","18.80K","-1.01%"
